Region,Year,data_min,data_max,q_min,q_max,n_total,n_plotted
Europe,1905,-3.25,0.07500000000000018,-3.25,0.07500000000000018,4,4
Europe,1906,0.3349999999999991,2.59,0.3349999999999991,2.59,4,4
Europe,1907,-2.3499999999999996,-0.09999999999999964,-2.3499999999999996,-0.09999999999999964,4,4
Europe,1908,-1.8899999999999988,0.04999999999999982,-1.8899999999999988,0.04999999999999982,5,5
Europe,1909,0.0,0.7799999999999994,0.0,0.7799999999999994,5,5
Europe,1910,0.9750000000000001,5.25,0.9750000000000001,5.25,5,5
Europe,1911,-0.7749999999999999,0.3200000000000003,-0.7749999999999999,0.3200000000000003,5,5
Europe,1912,-1.5500000000000007,0.22000000000000064,-1.5500000000000007,0.22000000000000064,5,5
Europe,1913,0.10000000000000009,1.1300000000000008,0.10000000000000009,1.1300000000000008,5,5
Europe,1914,-1.4800000000000004,0.39999999999999947,-1.4800000000000004,0.39999999999999947,5,5
Europe,1915,-0.3100000000000005,-0.3100000000000005,-0.3410000000000005,-0.27900000000000047,1,1
Europe,1916,2.1799999999999997,2.1799999999999997,1.9619999999999997,2.3979999999999997,1,1
Europe,1917,1.7200000000000006,1.7200000000000006,1.5480000000000005,1.8920000000000008,1,1
Europe,1918,-2.83,-2.83,-3.113,-2.547,1,1
Europe,1919,-0.8800000000000008,-0.8800000000000008,-0.9680000000000009,-0.7920000000000007,1,1
Europe,1920,-0.6750000000000007,2.8200000000000003,-0.6750000000000007,2.8200000000000003,6,6
Europe,1921,-6.530000000000001,-0.7449999999999992,-6.530000000000001,-0.7449999999999992,6,6
Europe,1922,-2.129999999999999,0.25,-2.129999999999999,0.25,6,6
Europe,1923,0.3500000000000001,4.664999999999999,0.3500000000000001,4.664999999999999,6,6
Europe,1924,-2.205000000000002,4.3149999999999995,-2.205000000000002,4.3149999999999995,11,11
Europe,1925,-0.63,1.8850000000000016,-0.63,1.8850000000000016,11,11
Europe,1926,-2.655000000000001,0.8200000000000001,-2.655000000000001,0.8200000000000001,11,11
Europe,1927,-2.5549999999999997,1.5750000000000028,-2.5549999999999997,1.5750000000000028,11,11
Europe,1928,-0.6500000000000021,3.5,-0.6500000000000021,3.5,10,10
Europe,1929,-4.635,1.8000000000000007,-4.635,1.8000000000000007,10,10
Europe,1930,-1.1999999999999993,0.9800000000000004,-1.1999999999999993,0.9800000000000004,13,13
Europe,1931,-1.0,4.5,-1.0,4.5,16,16
Europe,1932,-4.399999999999999,1.8000000000000007,-4.399999999999999,1.8000000000000007,17,17
Europe,1933,-1.5,2.5,-1.5,2.5,19,19
Europe,1934,-3.539999999999999,1.8249999999999993,-3.539999999999999,1.8249999999999993,20,20
Europe,1935,-3.4550000000000054,2.594999999999999,-3.4550000000000054,2.594999999999999,20,20
Europe,1936,-3.0749999999999993,6.784999999999998,-3.0749999999999993,6.784999999999998,20,20
Europe,1937,-0.8000000000000007,2.795000000000001,-0.8000000000000007,2.795000000000001,20,20
Europe,1938,-4.16,1.8000000000000007,-4.16,1.8000000000000007,21,21
Europe,1939,-1.5,1.5199999999999996,-1.5,1.5199999999999996,21,21
Europe,1940,-1.0499999999999972,2.5999999999999996,-1.0499999999999972,2.5999999999999996,18,18
Europe,1941,-2.8,1.4749999999999979,-2.8,1.4749999999999979,19,19
Europe,1942,-3.664999999999999,1.9000000000000021,-3.664999999999999,1.9000000000000021,21,21
Europe,1943,-2.0600000000000023,1.5499999999999972,-2.0600000000000023,1.5499999999999972,21,21
Europe,1944,-3.6999999999999957,2.075000000000003,-3.6999999999999957,2.075000000000003,21,21
Europe,1945,-5.725000000000001,6.450000000000001,-5.725000000000001,6.450000000000001,20,20
Europe,1946,-2.119999999999999,1.75,-2.119999999999999,1.75,21,21
Europe,1947,-2.469999999999999,0.8499999999999996,-2.469999999999999,0.8499999999999996,20,20
Europe,1948,-4.850000000000001,4.300000000000001,-4.850000000000001,4.300000000000001,20,20
Europe,1949,-4.050000000000001,2.5500000000000007,-4.050000000000001,2.5500000000000007,22,22
Europe,1950,-2.0,3.0,-2.0,3.0,33,33
Europe,1951,-0.4500000000000002,4.895,-0.4500000000000002,4.895,35,35
Europe,1952,-6.68,5.199999999999999,-6.68,5.199999999999999,35,35
Europe,1953,-6.400000000000002,2.0299999999999976,-6.400000000000002,2.0299999999999976,37,37
Europe,1954,-5.5,5.695,-5.5,5.695,58,58
Europe,1955,-1.9699999999999998,3.894999999999996,-1.9699999999999998,3.894999999999996,73,73
Europe,1956,-3.7900000000000063,1.4100000000000001,-3.7900000000000063,1.4100000000000001,102,102
Europe,1957,-3.025000000000002,3.45,-3.025000000000002,3.45,108,108
Europe,1958,-5.515000000000001,3.9599999999999937,-5.515000000000001,3.9599999999999937,120,120
Europe,1959,-4.260000000000005,5.904999999999999,-4.260000000000005,5.904999999999999,143,143
Europe,1960,-13.934999999999999,4.52,-13.934999999999999,4.52,152,152
Europe,1961,-6.550000000000001,8.400000000000002,-6.550000000000001,8.400000000000002,156,156
Europe,1962,-7.5,4.955,-7.5,4.955,188,188
Europe,1963,-7.0600000000000005,3.3000000000000007,-7.0600000000000005,3.3000000000000007,215,215
Europe,1964,-6.17,2.0999999999999996,-6.17,2.0999999999999996,233,233
Europe,1965,-3.849999999999998,9.14,-3.849999999999998,9.14,279,279
Europe,1966,-11.849999999999998,17.605,-11.849999999999998,17.605,339,339
Europe,1967,-9.149999999999999,4.164999999999999,-9.149999999999999,4.164999999999999,406,406
Europe,1968,-6.039999999999999,6.000000000000002,-6.039999999999999,6.000000000000002,510,510
Europe,1969,-5.68,4.25,-5.68,4.25,694,694
Europe,1970,-16.96,8.935000000000002,-16.96,8.935000000000002,819,819
Europe,1971,-16.205000000000002,13.75,-16.205000000000002,13.75,1098,1098
Europe,1972,-6.655000000000001,8.100000000000001,-6.655000000000001,8.100000000000001,1230,1230
Europe,1973,-7.045,10.924999999999999,-7.045,10.924999999999999,1358,1358
Europe,1974,-10.055000000000001,9.329999999999998,-10.055000000000001,9.329999999999998,1410,1410
Europe,1975,-12.0,14.6,-12.0,14.6,1638,1638
Europe,1976,-20.12,25.54,-20.12,25.54,1675,1675
Europe,1977,-20.049999999999997,9.329999999999998,-20.049999999999997,9.329999999999998,1712,1712
Europe,1978,-11.6,12.629999999999999,-11.6,12.629999999999999,1770,1770
Europe,1979,-9.865,16.549999999999997,-9.865,16.549999999999997,1823,1823
Europe,1980,-7.7,6.799999999999999,-7.7,6.799999999999999,1829,1829
Europe,1981,-14.18,21.58,-14.18,21.58,1792,1792
Europe,1982,-24.855,10.459999999999994,-24.855,10.459999999999994,1839,1839
Europe,1983,-11.099999999999994,8.949999999999989,-11.099999999999994,8.949999999999989,1862,1862
Europe,1984,-10.02,10.67,-10.02,10.67,1668,1668
Europe,1985,-20.755,12.150000000000002,-20.755,12.150000000000002,1703,1703
Europe,1986,-19.54,20.65,-19.54,20.65,1743,1743
Europe,1987,-19.269999999999996,15.290000000000003,-19.269999999999996,15.290000000000003,1711,1711
Europe,1988,-18.134999999999998,15.694999999999997,-18.134999999999998,15.694999999999997,1795,1795
Europe,1989,-23.909999999999997,14.170000000000002,-23.909999999999997,14.170000000000002,1808,1808
Europe,1990,-26.45,7.125000000000002,-26.45,7.125000000000002,1848,1848
Europe,1991,-13.899999999999999,17.699999999999996,-13.899999999999999,17.699999999999996,1880,1880
Europe,1992,-10.544999999999998,21.130000000000003,-10.544999999999998,21.130000000000003,1913,1913
Europe,1993,-19.549999999999997,11.870000000000001,-19.549999999999997,11.870000000000001,1943,1943
Europe,1994,-16.619999999999997,43.900000000000034,-16.619999999999997,43.900000000000034,2019,2019
Europe,1995,-26.310000000000002,39.764999999999986,-26.310000000000002,39.764999999999986,2121,2121
Europe,1996,-22.819999999999993,37.400000000000006,-22.819999999999993,37.400000000000006,2196,2196
Europe,1997,-19.39,69.49,-19.39,69.49,2232,2232
Europe,1998,-16.810000000000002,44.614999999999995,-16.810000000000002,44.614999999999995,2325,2325
Europe,1999,-29.57,24.835,-29.57,24.835,2449,2449
Europe,2000,-24.200000000000003,29.86,-24.200000000000003,29.86,2458,2458
Europe,2001,-16.89,23.224999999999994,-16.89,23.224999999999994,2711,2711
